ID,GROUP,VALUE,presses_pre,presses_post,presses_post1,presses_post2,presses_post3,presses_reacquisition,presses_change,habit_index,trainingPressingRate,trainingPressingRateExcludingLastRun
163,1,valued,1.43853897724748,3.70121249255357,3.49799926300372,3.75397592618661,3.85166228847038,3.83815183176607,2.26267351530609,3.93469488635957,2.48201738724961,2.52518209428911
163,1,devalued,3.43916638317274,1.76714501211926,0,2.45125172838595,2.85018330797183,0,-1.67202137105348,3.93469488635957,2.48201738724961,2.52518209428911
163,1,baseline,0,0,0,0,0,0,0,3.93469488635957,2.48201738724961,2.52518209428911
164,1,valued,3.96089440967692,4.16803221907362,4.09749455704153,4.42570284117024,3.98089925900908,4.31860520748048,0.207137809396694,0.0472896961159175,3.86794778929125,3.69900315464958
164,1,devalued,4.11289043818892,4.27273855146969,4.40247485277942,4.20637429417653,4.20936650745313,4.2332519955312,0.159848113280777,0.0472896961159175,3.86794778929125,3.69900315464958
164,1,baseline,0,0,0,0,0,0,0,0.0472896961159175,3.86794778929125,3.69900315464958
166,1,valued,3.2303314862297,3.73052257109806,3.84546414794498,3.58847546231051,3.75762810303869,3.16002110095425,0.500191084868357,0.357268639978079,3.20433118785616,3.06544945881421
166,1,devalued,3.45609434756652,3.5990167924568,3.19964211602979,3.6454983346907,3.95190992664991,3.4606893062226,0.142922444890278,0.357268639978079,3.20433118785616,3.06544945881421
166,1,baseline,0,0,0,0,0,0,0,0.357268639978079,3.20433118785616,3.06544945881421
167,1,valued,3.45763450701984,2.76506548601923,2.95275983580925,3.35369312829106,1.98874349395737,2.8164301138831,-0.692569021000611,-0.216266796813521,3.37980307220043,3.21312641818932
167,1,devalued,3.63532494540325,3.15902272121616,3.14011853666652,3.69850230905796,2.638447317924,2.16060589491585,-0.476302224187091,-0.216266796813521,3.37980307220043,3.21312641818932
167,1,baseline,0,0,0,0,0,0,0,-0.216266796813521,3.37980307220043,3.21312641818932
